,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
266,125,0.47802734375,3,0.80712890625,5,266,21,12.518962075848304,12.810473815461346
267,78,0.47802734375,3,0.80712890625,5,267,7,3.305389221556886,3.4064837905236907
268,125,0.57763671875,3,0.80712890625,5,268,6,8.980039920159681,9.129675810473815
269,125,0.47802734375,1,0.80712890625,5,269,21,18.097804391217565,19.576059850374065
270,125,0.47802734375,3,0.28271484375,5,270,15,15.189620758483034,15.663341645885287
271,125,0.47802734375,3,0.80712890625,4,271,15,11.337325349301397,11.810473815461346
272,78,0.57763671875,1,0.28271484375,4,272,9,7.2315369261477045,8.264339152119701
273,55,0.97802734375,13,0.30712890625,3,273,0,0.0,0.0
274,148,0.97802734375,13,0.30712890625,3,274,0,0.24750499001996007,0.26184538653366585
275,55,0.07763671875,13,0.30712890625,3,275,6,4.512974051896207,4.605985037406484
276,55,0.97802734375,11,0.30712890625,3,276,0,0.0,0.0
277,55,0.97802734375,13,0.78271484375,3,277,0,0.0,0.0
278,55,0.97802734375,13,0.30712890625,6,278,0,0.0,0.0
279,148,0.07763671875,11,0.78271484375,6,279,48,57.30339321357285,57.45386533665835
280,72,0.35302734375,15,0.43212890625,3,280,3,6.139720558882235,5.875311720698255
281,96,0.35302734375,15,0.43212890625,3,281,6,6.984031936127744,7.2992518703241895
282,72,0.70263671875,15,0.43212890625,3,282,2,0.9560878243512974,1.0673316708229426
283,72,0.35302734375,4,0.43212890625,3,283,6,4.171656686626746,4.381546134663342
284,72,0.35302734375,15,0.40771484375,3,284,2,3.614770459081836,3.533665835411471
285,72,0.35302734375,15,0.43212890625,3,285,4,3.1696606786427144,3.0473815461346634
286,96,0.70263671875,4,0.40771484375,3,286,3,1.8682634730538923,1.8927680798004987
287,142,0.85302734375,5,0.93212890625,5,287,2,1.4171656686626746,1.541147132169576
288,26,0.85302734375,5,0.93212890625,5,288,0,0.0,0.0
